feature,importance
categorical__Sex_female,0.1288323367629314
categorical__Sex_male,0.111925313790144
numeric__Fare,0.0864505584020988
numeric__Age,0.07098719524401399
numeric__Pclass,0.05123240987426333
categorical__Cabin_G6,0.035271565369472686
numeric__SibSp,0.023795076063995554
numeric__Parch,0.02351749626974266
categorical__Embarked_S,0.012684331498385161
categorical__Ticket_1601,0.011973707920533443
categorical__Embarked_C,0.010681141737799611
categorical__Ticket_237798,0.005472277816882199
categorical__Embarked_Q,0.005450355695672893
categorical__Ticket_A/5 3540,0.005101914874801186
categorical__Ticket_C 17369,0.005017909931885544
categorical__Ticket_350034,0.004988296066448305
categorical__Ticket_312991,0.004954951782469675
categorical__Ticket_A/5. 10482,0.004835357255018476
categorical__Ticket_347082,0.004588385788980872
categorical__Ticket_315098,0.004369488676750017
categorical__Ticket_STON/O 2. 3101289,0.004265312546638827
categorical__Ticket_347083,0.00406188333939065
categorical__Ticket_350417,0.004046266372705487
categorical__Ticket_STON/O 2. 3101288,0.003983936428054654
categorical__Ticket_STON/O 2. 3101286,0.00395337888881365
categorical__Ticket_345779,0.003937859519533102
categorical__Ticket_2677,0.003925488910324874
categorical__Ticket_SOTON/OQ 392089,0.003796560588249181
categorical__Ticket_7598,0.0037681603949332927
categorical__Ticket_STON/O 2. 3101269,0.003723165580050518
categorical__Ticket_29106,0.0037166621474789894
categorical__Ticket_345774,0.0036981693303164546
categorical__Ticket_STON/O 2. 3101285,0.003647868720975026
categorical__Ticket_SW/PP 751,0.0035751305308024
categorical__Ticket_244270,0.0033091978574682464
categorical__Ticket_2663,0.0032912446086170864
categorical__Ticket_2908,0.0032784746237575903
categorical__Ticket_382651,0.003155910868455664
categorical__Cabin_E25,0.0030973352820378164
categorical__Ticket_349909,0.0030496423841841693
categorical__Ticket_347077,0.002938682755596341
categorical__Ticket_237671,0.002775104241605964
categorical__Ticket_111427,0.0027350382756942708
categorical__Ticket_367228,0.0027260397797523334
categorical__Ticket_SC/PARIS 2146,0.0027186817247894894
categorical__Ticket_347742,0.00270496045846707
categorical__Ticket_111428,0.002604582627230957
categorical__Ticket_2653,0.002584367913634454
categorical__Ticket_367226,0.002547888708082351
categorical__Ticket_11668,0.0023958336137696757
categorical__Cabin_C22 C26,0.0023764606818179913
categorical__Ticket_250651,0.002320552025282081
categorical__Ticket_111426,0.0023087133030661416
categorical__Ticket_364516,0.0022547472502105867
categorical__Ticket_244252,0.0021448735697218164
categorical__Ticket_2678,0.0020954922499501374
categorical__Ticket_2699,0.00207672036231385
categorical__Ticket_2691,0.0020640165376327214
categorical__Ticket_PP 9549,0.002025539776467033
categorical__Ticket_19952,0.0019778680020723933
categorical__Ticket_2666,0.0019586639224367756
categorical__Ticket_PC 17611,0.001933002099774045
categorical__Ticket_PC 17593,0.0019175335751138067
categorical__Ticket_4138,0.001915653127143918
categorical__Ticket_382649,0.0019143902238148843
categorical__Ticket_19943,0.001909097770252381
categorical__Ticket_365226,0.0019048160206677537
categorical__Ticket_347081,0.0019019017821546656
categorical__Cabin_D56,0.0018984564695233505
categorical__Ticket_SOTON/O.Q. 392078,0.0018807563144034225
categorical__Ticket_347054,0.0018687971404814522
categorical__Ticket_W./C. 6608,0.0018599009703991623
categorical__Ticket_2651,0.0018468726655109064
categorical__Cabin_E101,0.0018400124731330395
categorical__Ticket_3101281,0.0017697808509056184
categorical__Ticket_C.A. 37671,0.0017689009858240382
categorical__Ticket_113786,0.0017628399627044884
categorical__Ticket_347088,0.0017540017615642026
categorical__Ticket_345773,0.0017380508441585246
categorical__Ticket_CA. 2343,0.0017340842779043236
categorical__Ticket_16988,0.0017145757722057395
categorical__Cabin_D26,0.001687731719329791
categorical__Ticket_349244,0.001683799222431449
categorical__Ticket_2661,0.0016540548951405145
categorical__Cabin_F33,0.0016333665555407775
categorical__Ticket_347085,0.0016255724419898861
categorical__Ticket_350046,0.00162090770465054
categorical__Ticket_PC 17595,0.001615111739834229
categorical__Ticket_PC 17572,0.0016020745143274704
categorical__Ticket_364850,0.0015959703531291656
categorical__Ticket_19988,0.0015818956148322017
categorical__Ticket_CA. 2314,0.001580737537903834
categorical__Ticket_2665,0.0015538781050427304
categorical__Ticket_4135,0.0015513379268518711
categorical__Ticket_315084,0.0015331795306168844
categorical__Ticket_113781,0.001520318040459995
categorical__Ticket_363291,0.0015086608818489606
categorical__Ticket_3101295,0.0015086405579858493
categorical__Ticket_370129,0.001507237350821992
categorical__Cabin_E8,0.0014972985513158267
categorical__Cabin_F2,0.0014872390296174068
categorical__Cabin_E17,0.0014783143090664292
categorical__Cabin_D45,0.0014743321169037888
categorical__Cabin_E12,0.0014724279912642793
categorical__Ticket_110564,0.0014655508301253514
categorical__Ticket_PC 17474,0.001440617242077162
categorical__Ticket_112277,0.0014336828986969447
categorical__Cabin_E24,0.0014043580510865958
categorical__Ticket_330935,0.0013424369670431077
categorical__Ticket_230080,0.0013296750143101783
categorical__Ticket_250649,0.0013240851254746346
categorical__Ticket_C 7077,0.0013198698163112163
categorical__Cabin_C106,0.0013191737147526875
categorical__Ticket_W./C. 6609,0.0012881741694096573
categorical__Cabin_D19,0.0012845771493752403
categorical__Ticket_A/5. 3337,0.0012833919720823444
categorical__Ticket_347087,0.0012807964122378277
categorical__Ticket_343095,0.0012804841713055697
categorical__Ticket_17421,0.0012794452420909657
categorical__Cabin_E10,0.0012702561991407625
categorical__Cabin_C104,0.0012439376493036459
categorical__Cabin_D35,0.001221312410391011
categorical__Ticket_4134,0.0012156534790825064
categorical__Ticket_S.O.C. 14879,0.0012134688701673682
categorical__Ticket_2668,0.0012048654764557386
categorical__Cabin_C49,0.001203260027928799
categorical__Ticket_350407,0.0011944086772043593
categorical__Ticket_4137,0.0011881038015617753
categorical__Ticket_STON/O2. 3101282,0.0011837915139091965
categorical__Ticket_113055,0.0011773972821722473
categorical__Ticket_315096,0.001174785605924786
categorical__Ticket_7553,0.0011616838133230822
categorical__Ticket_248738,0.0011570261181693862
categorical__Ticket_PC 17476,0.0011520819210078716
categorical__Ticket_7552,0.001130135428099783
categorical__Ticket_386525,0.001120636940232421
categorical__Ticket_350406,0.001106224213535929
categorical__Cabin_A23,0.0011045594202975138
categorical__Ticket_C.A. 31921,0.001095915055275599
categorical__Ticket_A/5. 3336,0.0010936762558782704
categorical__Ticket_113760,0.0010909631530871293
categorical__Ticket_349237,0.0010775292999710146
categorical__Cabin_B96 B98,0.0010511145716043874
categorical__Ticket_S.C./PARIS 2079,0.0010495364979290769
