model_name,test_score,cv_score,training_time
RandomForest,0.8111988874769224,0.8275407036477975,5.9073264598846436
SVC,0.8075437842565159,0.8339647472276323,2.853325605392456
LogisticRegression,0.8047262044959578,0.82593547821866,3.133155107498169
GradientBoosting,0.7966318197880587,0.8242936015866498,4.887006521224976
